Wall time,Step,Value
1664262187.1807392,0,0.035462938249111176
1664262197.4567313,1,0.006616377271711826
1664262207.913838,2,0.004967818036675453
1664262218.103579,3,0.004416707903146744
1664262228.2607472,4,0.004099737852811813
1664262239.1453931,5,0.0039163073524832726
1664262249.830867,6,0.003705018199980259
1664262260.5975652,7,0.003604300320148468
1664262271.532773,8,0.003525636624544859
1664262282.1882057,9,0.003437137696892023
1664262292.375161,10,0.00339792319573462
1664262306.0546136,11,0.0033669571857899427
1664262316.075683,12,0.0033551559317857027
1664262329.8739278,13,0.0033188676461577415
1664262340.293699,14,0.0033018579706549644
1664262354.2676435,15,0.0032883998937904835
1664262364.4942482,16,0.003252773080021143
1664262377.9935365,17,0.003290716325864196
1664262388.0213509,18,0.0032587298192083836
1664262401.2062104,19,0.00324432784691453
1664262411.0661128,20,0.003242568578571081
1664262424.4231822,21,0.003222907427698374
1664262434.2860544,22,0.0032100912649184465
1664262444.0830097,23,0.0032209502533078194
1664262453.9499965,24,0.003207627683877945
1664262465.8452282,25,0.0032145665027201176
1664262479.5561113,26,0.003208397189155221
1664262489.4003987,27,0.0032090444583445787
1664262499.2912285,28,0.0032062751706689596
1664262509.2786164,29,0.0032109927851706743
1664262519.1230981,30,0.003201244631782174
1664262533.7083266,31,0.003178422572091222
1664262545.3337896,32,0.003157514613121748
1664262557.19705,33,0.0031719994731247425
1664262567.1995497,34,0.003167129121720791
1664262577.1842294,35,0.0031884275376796722
1664262587.931803,36,0.003161769825965166
1664262597.9229705,37,0.0031784535385668278
1664262608.1607404,38,0.0031671582255512476
1664262618.5243454,39,0.0031768223270773888
1664262628.6011255,40,0.00315877259708941
1664262641.7595942,41,0.003165453439578414
1664262651.5358386,42,0.0031678846571594477
1664262661.3317692,43,0.003164173336699605
1664262671.1236944,44,0.0031536531168967485
1664262680.8964148,45,0.0031595060136169195
1664262690.6839895,46,0.0031504009384661913
1664262700.5069835,47,0.003166932612657547
1664262710.3250625,48,0.003159755375236273
1664262721.2516828,49,0.003147823503240943
1664262732.5350792,50,0.0031574030872434378
1664262742.4879956,51,0.0031692807096987963
1664262754.5395536,52,0.0031656818464398384
1664262765.3982375,53,0.0031501776538789272
1664262775.2092183,54,0.0031564594246447086
1664262785.0712535,55,0.003151663113385439
1664262795.0471923,56,0.0031556719914078712
1664262808.4989338,57,0.0031588461715728045
1664262818.7964685,58,0.003159967949613929
1664262828.8382547,59,0.00317844795063138
1664262838.7446632,60,0.003174376208335161
1664262848.800443,61,0.0031503315549343824
1664262858.5357025,62,0.003168012946844101
1664262870.0616505,63,0.0031512442510575056
1664262880.7359254,64,0.0031600832007825375
1664262890.912586,65,0.0031531094573438168
1664262901.415761,66,0.0031459045130759478
1664262911.4431412,67,0.003155662212520838
1664262921.2178235,68,0.0031457541044801474
1664262930.9144375,69,0.003143809037283063
1664262940.5940073,70,0.0031460197642445564
1664262950.3166485,71,0.0031489371322095394
1664262959.9957047,72,0.003151212353259325
1664262969.6064534,73,0.003148217685520649
1664262980.456478,74,0.0031415950506925583
1664262991.5893674,75,0.003159492975100875
1664263002.288725,76,0.0031699335668236017
1664263012.0564575,77,0.0031464584171772003
1664263021.8441167,78,0.0031538226176053286
1664263031.837741,79,0.003154283156618476
1664263042.454897,80,0.003154144389554858
1664263053.2042942,81,0.0031432753894478083
1664263063.2715902,82,0.003147746901959181
1664263073.0859048,83,0.0031701973639428616
1664263083.1377692,84,0.003145836992189288
1664263094.8262644,85,0.003136327024549246
1664263104.4860146,86,0.003153510158881545
1664263114.8587294,87,0.0031423012260347605
1664263125.3157206,88,0.0031535031739622355
1664263135.060117,89,0.003157886676490307
1664263144.819755,90,0.0031419533770531416
1664263154.5809088,91,0.0031442376784980297
1664263165.4186158,92,0.00313986511901021
1664263176.3801994,93,0.0031583730597049
1664263187.5521646,94,0.003156285500153899
1664263197.68941,95,0.003125663846731186
1664263208.099716,96,0.003138346131891012
1664263218.833137,97,0.0031466635409742594
1664263228.608025,98,0.003137855790555477
1664263238.2664807,99,0.0031506752129644156
